"","RespNum","gender","age","education","jobtype","KUT","GAAIS"
"44",65,"weiblich",24,"Fach-/Allgemeine Hochschulreife","Angestellte*r",4.625,4
"45",68,"weiblich",22,"Fach- oder Hochschulabschluss","Student*in",4.25,4.2
"46",69,"weiblich",22,"Fach- oder Hochschulabschluss","Student*in",4.375,3.7
"47",72,"weiblich",25,"Fach- oder Hochschulabschluss","Angestellte*r",4.25,3.8
"48",77,"weiblich",57,"Fach-/Allgemeine Hochschulreife","Angestellte*r",3.125,4.2
"49",78,"maennlich",42,"Fach- oder Hochschulabschluss","Angestellte*r",4.875,4.5
"50",79,"maennlich",47,"Fach-/Allgemeine Hochschulreife","Angestellte*r",5.5,2.1
"51",80,"weiblich",23,"Fach- oder Hochschulabschluss","Student*in",4.375,4.1
"52",83,"weiblich",29,"Fach- oder Hochschulabschluss","Angestellte*r",5,3.9
"53",84,"maennlich",31,"Fach- oder Hochschulabschluss","Angestellte*r",6,4.6
"54",86,"weiblich",24,"Berufsausbildung","Student*in",5.125,4.3
"55",87,"maennlich",34,"Fach- oder Hochschulabschluss","Angestellte*r",4.375,4.1
"56",88,"maennlich",25,"Fach- oder Hochschulabschluss","Student*in",4.25,3.5
"57",89,"maennlich",30,"Fach- oder Hochschulabschluss","Angestellte*r",4.125,4.5
"58",91,"weiblich",24,"Fach- oder Hochschulabschluss","Student*in",4.375,3.9
"59",93,"maennlich",57,"Fach- oder Hochschulabschluss","Angestellte*r",2.125,3.2
"60",94,"weiblich",55,"Fach-/Allgemeine Hochschulreife","Hausfrau/Hausmann",3.75,3.9
"61",95,"maennlich",27,"Fach- oder Hochschulabschluss","Angestellte*r",5.125,4.5
"62",100,"weiblich",27,"Fach- oder Hochschulabschluss","Student*in",5.375,4.6
"63",101,"weiblich",22,"Fach-/Allgemeine Hochschulreife","Angestellte*r",4,3.7
"64",103,"weiblich",22,"Fach-/Allgemeine Hochschulreife","Student*in",4.75,4.3
"65",106,"weiblich",22,"Fach-/Allgemeine Hochschulreife","Student*in",5,5.1
"66",107,"maennlich",23,"Fach-/Allgemeine Hochschulreife","Student*in",4.875,4.6
"67",108,"maennlich",21,"Fach-/Allgemeine Hochschulreife","Student*in",5.25,4.3
"68",109,"maennlich",23,"Fach-/Allgemeine Hochschulreife","Student*in",4.125,3.6
"69",110,"weiblich",23,"Fach-/Allgemeine Hochschulreife","Student*in",4,4.1
"70",111,"weiblich",23,"Fach- oder Hochschulabschluss","Student*in",4.125,4.8
"71",113,"maennlich",31,"Fach- oder Hochschulabschluss","Angestellte*r",5.25,3.2
"72",114,"maennlich",26,"Fach-/Allgemeine Hochschulreife","Student*in",6,5.1
"73",116,"maennlich",60,"Fach- oder Hochschulabschluss","Angestellte*r",5.5,4.8
"74",117,"weiblich",25,"Fach- oder Hochschulabschluss","Student*in",5.125,2.3
"75",119,"weiblich",35,"Fach-/Allgemeine Hochschulreife","Student*in",2.75,4.6
"76",124,"maennlich",26,"Fach- oder Hochschulabschluss","Angestellte*r",5.75,4
"77",125,"weiblich",26,"Fach- oder Hochschulabschluss","Angestellte*r",5.375,5
"78",127,"weiblich",40,"Fach- oder Hochschulabschluss","Angestellte*r",3.25,3.5
"79",128,"weiblich",57,"Berufsausbildung","Angestellte*r",4,3
"80",129,"weiblich",54,"Promotion","Angestellte*r",4.5,4.1
"81",131,"maennlich",26,"Fach- oder Hochschulabschluss","Student*in",5.25,4.1
"82",132,"maennlich",23,"Berufsausbildung","Student*in",5.375,5.2
"83",133,"weiblich",24,"Fach- oder Hochschulabschluss","Student*in",4.625,4.3
"84",136,"weiblich",25,"Fach-/Allgemeine Hochschulreife","Student*in",3.625,4.7
"85",138,"maennlich",25,"Fach- oder Hochschulabschluss","Student*in",4.875,4.5
"86",139,"maennlich",26,"Fach-/Allgemeine Hochschulreife","Student*in",5,4.4
"87",140,"maennlich",23,"Fach-/Allgemeine Hochschulreife","Student*in",4.625,5.1
"88",141,"weiblich",31,"Fach- oder Hochschulabschluss","Angestellte*r",3.375,5.6
"89",142,"weiblich",38,"Fach- oder Hochschulabschluss","Angestellte*r",5.125,3
"90",148,"maennlich",26,"Fach- oder Hochschulabschluss","Student*in",4.75,3.5
"91",149,"maennlich",20,"Mittlere Reife/Realschulabschluss","Schueler*in",4.25,3.9
"92",151,"maennlich",25,"Fach- oder Hochschulabschluss","Angestellte*r",5.25,4.9
"93",152,"maennlich",25,"Fach- oder Hochschulabschluss","Angestellte*r",5.5,4.4
"94",153,"weiblich",24,"Fach- oder Hochschulabschluss","Student*in",3.625,4
"95",155,"weiblich",23,"Berufsausbildung","Angestellte*r",5,3.4
"96",156,"maennlich",24,"Fach- oder Hochschulabschluss","Student*in",4.875,4.9
